plate,well,control,gene_symbol,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
4,J15,sample,SENP6,-2.55,3.35,2.25,-7.02,1.48,2.35,0.18,-0.22,2,-3.62,130.272394549638,199.703973147236,582,210,50.8668384879725,58.2190476190476,0.544935428154628,0.483229186488948,38.8969072164948,22.9619047619048,128.399088761317,185.757454810593,1004,609,58.6558764940239,49.4753694581281,0.511126840845801,0.502562861083158,33.2599601593625,25.3415435139573,1.04,1.2,0.745,0.897,0.88,1.09,1.05,0.938,1.16,0.724,1.06,1.09,1.07,0.797,0.996,1.31,1.01,0.945,1.01,0.8,1.637,2.762,-0.447,-0.128,-4.565,1.706,3.843,-2.779,3.309,-6.27,1.332,1.944,0.8,-0.315,-0.531,4.984,0.152,-4.452,1.182,-7.777,0.8817621561396248,0.1322289680818844,0.21566756826189695,0.5784133470105959,2.852468755306533,2.317896028729503,2.609931129359547,1.182989644925094,1.5040161235837868,1.0656099192481276
2,C16,sample,SF3B1,-2.77,1.83,-4.32,-7.31,-2.91,1.72,-2.52,-1.77,7.44,0.83,108.748486641786,189.163025576493,240,137,51.3729166666667,48.8467153284672,0.575966198523057,0.534069546264515,28.7375,24.2189781021898,119.216610487871,184.066091904372,371,671,57.167115902965,44.8315946348733,0.537797257341016,0.52644052008014,28.6172506738544,29.6602086438152,0.887,1.08,0.298,0.354,0.895,0.944,1.1,1.05,0.804,0.749,0.983,1.11,0.466,0.773,0.964,1.22,1.06,0.985,0.877,0.934,-4.142,0.66,-2.838,-2.106,-4.011,-1.524,8.761,3.967,-4.164,-10.289,-1.673,2.773,-2.205,-1.427,-1.53,5.191,6.122,-2.308,-4.476,-4.339,0.4475985924910846,0.4801255044256657,1.745846642749586,1.494116628647175,1.7543319241238244,4.748222035667666,1.8660547955512985,4.437095051945586,0.22061731573020305,4.2072853480599575
1,G21,sample,WDR5,-3.13,-2.53,-0.02,0.66,-2.54,1.47,-0.15,-0.56,3.71,2.09,110.382848888831,199.719853178935,969,298,54.3802889576884,46.6342281879195,0.529255058838344,0.530102801439701,31.9504643962848,32.3489932885906,105.519439107491,178.399760811232,63,726,55.5238095238095,36.4476584022039,0.540374431175776,0.541036399495343,31.3968253968254,31.969696969697,0.901,1.11,1.16,0.861,0.921,0.877,1.03,1.04,0.971,1.01,0.922,1.06,0.181,0.879,0.941,0.984,1.08,1.01,1.01,1.01,-3.543,1.985,1.086,-0.664,-3.778,-3.295,3.577,2.41,-0.221,-0.064,-1.546,0.948,-1.394,-0.46,-2.475,-1.755,3.849,1.771,0.188,1.383,1.753624817342638,0.1442497833620557,1.4120922420295354,0.7332697320904499,0.9213601358860714,1.0889444430272832,0.1923330444827411,0.45184123317820407,0.28920667350529794,1.0231835123769344
2,K16,sample,KANSL1,-3.15,-2.81,-0.21,-3.59,0.84,1.57,-0.96,-1.48,1.29,2.47,129.6368571627,201.040900569806,629,239,53.3330683624801,48.3284518828452,0.537915569936879,0.528404998731141,37.6232114467409,29.6987447698745,122.729679161572,170.650292537189,498,706,55.2058232931727,33.5573654390935,0.508941944495361,0.54219305221018,32.289156626506,29.9787535410765,1.06,1.15,0.781,0.618,0.929,0.934,1.03,1.04,1.05,0.919,1.01,1.03,0.625,0.813,0.931,0.914,1.01,1.01,0.99,0.944,1.642,3.088,-0.605,-1.469,-2.176,-2.577,2.243,3.677,0.09,-3.549,0.028,0.062,-1.325,-1.485,-4.129,-3.051,0.328,1.267,-0.517,-3.634,0.5091168824543142,0.01131370849898477,1.1412703448350876,2.139705119870493,1.380979543657327,0.33516861428242367,1.3541094859722385,1.7041273426595795,0.4292138161802343,0.06010407640085651
2,I13,sample,CDCA5,-3.24,1.76,1.16,-7.37,2.94,-3.01,-1.42,-1.76,3.55,2.76,133.46825813531,140.461432361428,512,158,53.0439453125,52.873417721519,0.541506049599061,0.539358788831475,39.232421875,24.8544303797468,134.551925491971,153.38023777082,552,706,56.6268115942029,42.8548158640227,0.525242396294942,0.535200941099918,34.0634057971015,28.5594900849858,1.09,0.802,0.636,0.408,0.924,1.02,1.04,1.06,1.1,0.769,1.11,0.926,0.693,0.813,0.955,1.17,1.04,1,1.04,0.899,2.761,-3.929,-1.781,-2.128,-2.763,-0.731,3.321,5.136,1.951,-8.471,3.119,-2.092,-1.055,-1.391,-3.715,4.258,3.783,0.375,0.362,-6.262,0.5133595231414335,0.5211376977344856,0.25314422766478406,1.2989551570396876,0.6731656556895932,3.5277557313396852,0.3266833329081848,3.366535385229153,1.123592675305424,1.5619988796410835
3,B10,sample,LMNA,-3.36,-2.19,-2.6,-3.56,-1.05,-1.1,-0.45,-0.77,2.22,5.51,124.727923963516,165.717325262948,711,246,53.9345991561181,45.8475609756098,0.527315573000575,0.552289692100175,30.4697609001406,29.6869918699187,117.468926151505,166.949146845803,804,629,56.3383084577114,34.845786963434,0.521658494671456,0.557390801684521,30.9228855721393,29.4372019077901,1,0.931,0.911,0.638,0.946,0.875,1.01,1.08,0.844,0.909,0.96,0.985,0.913,0.811,0.944,0.933,1.03,1.05,0.936,0.938,-0.335,-1.491,-0.382,-0.504,-3.523,-2.883,1.086,5.565,-2.759,-3.498,-1.77,-0.701,-0.524,-1.045,-3.203,-1.505,3.346,5.45,-2.433,-3.618,0.10040916292848975,0.38254476862192216,1.0146982310026955,0.5586143571373727,0.2262741699796954,0.9743931444750624,1.5980613254815974,0.08131727983645312,0.23051681066681456,0.08485281374238547
4,B07,sample,BUB1B,-3.47,-1.58,-2.33,-3.19,1.12,0.51,-1.97,-0.72,3.28,2.37,130.912326504878,175.005479537874,348,135,52.0316091954023,48.0962962962963,0.556349198870431,0.531591376898722,30.3591954022989,26.5407407407407,132.202580606397,178.88053984146,542,488,54.6734317343174,36.0204918032787,0.525666055766303,0.550415337683085,30.4428044280443,28.9426229508197,1.05,1.05,0.446,0.577,0.9,0.903,1.07,1.03,0.902,0.836,1.09,1.05,0.576,0.639,0.928,0.952,1.04,1.04,0.924,0.914,0.571,0.194,-2.418,-0.35,-4.406,-1.233,5.421,0.33,-1.941,-2.657,1.665,0.826,-1.515,-1.096,-2.538,-1.921,1.143,4.405,-2.721,-3.724,0.6385174234114526,0.5275016587651645,0.7735748186180831,0.446891485709898,1.3208754672564706,0.48648946545634464,3.0250028099160504,2.8814601333351813,0.5515432893255071,0.7544829355260463
4,L10,sample,PAFAH1B1,-3.47,-3.61,0.55,-2.48,0.24,-1.02,-1.59,-1.6,2.52,0.83,121.747957096728,171.182686276352,534,165,52.5187265917603,43.1424242424242,0.537178186664445,0.52783077929302,35.4419475655431,30.4606060606061,126.137421803211,155.294208757765,680,441,54.6816176470588,29.546485260771,0.528316486119432,0.539370606576595,33.5632352941176,27.9750566893424,0.976,1.03,0.684,0.705,0.908,0.81,1.04,1.02,1.05,0.96,1.04,0.911,0.723,0.577,0.928,0.781,1.04,1.01,1.02,0.883,-0.271,-0.054,-1.299,-0.284,-3.452,-2.996,2.234,0.419,-0.001,-0.403,0.745,-1.977,-1.885,-2.913,-3.488,-4.217,2.804,1.236,1.101,-4.555,0.4143645737753169,1.8589837277394337,0.7184204896855323,1.359766340221731,0.02545584412271573,0.8633773798287743,0.40305086527633194,0.5777062402294093,0.7792316728675753,2.935907355486545
4,G11,sample,PPP2R1A,-3.67,-0.97,-1.24,-3.9,-1.3,0.65,-2.21,-2.59,5.61,2.94,114.202964608858,137.356629705045,384,79,49.3932291666667,46.5569620253165,0.561761319870442,0.573061343863967,33.5911458333333,24.8607594936709,115.78084139433,199.71102459893,654,427,55.5252293577982,36.5140515222482,0.540063974135994,0.538797750946955,31.677370030581,29.5995316159251,0.916,0.825,0.492,0.338,0.854,0.874,1.08,1.11,0.998,0.783,0.952,1.17,0.695,0.559,0.943,0.965,1.06,1.01,0.961,0.934,-1.567,-2.703,-2.22,-2.048,-5.174,-1.545,6.684,4.649,-0.537,-4.539,-1.032,4.004,-2.207,-3.129,-2.173,-0.389,4.529,1.234,-1.939,-3.271,0.00919238815542536,0.7643824304626579,0.3783021279348029,4.742565181418174,2.122027450340829,0.8174154390516488,1.5238151134570102,2.4147696577520597,0.9913637072235396,0.8966113985445421
1,C20,sample,CHEK1,-3.75,-0.84,-1.08,-9.61,-3.95,3.21,2.78,-3.04,4,-1.62,99.0849617917441,203.659652414143,1230,121,53.8747967479675,47.8595041322314,0.531723369622685,0.480988449730231,29.3520325203252,22.6115702479339,98.5712361548302,187.482112315829,787,472,55.7064803049555,40.978813559322,0.523705234534131,0.530229027253956,30.5273189326557,25.4470338983051,0.808,1.13,1.47,0.35,0.912,0.9,1.04,0.944,0.892,0.703,0.862,1.11,2.26,0.572,0.944,1.11,1.04,0.989,0.981,0.806,-5.594,2.291,3.916,-2.497,-5.007,-2.974,5.245,-2.047,-2.111,-8.522,-2.304,4.137,1.645,-3.581,-2.49,1.292,2.757,-1.199,-0.058,-10.691,1.6058395000746493,0.7665037508062176,2.326381310103742,1.3053191180703665,1.7797877682465395,3.0165175285418115,1.7592816715921302,0.5996265504461924,1.4516902217759822,1.533714608393622
1,E11,sample,AURKA,-3.84,0.53,-6.62,-8.74,1.5,0.04,-2.24,-2.35,6.59,1.14,133.829558995109,178.999824883536,345,162,54.4536231884058,49.0740740740741,0.577197352130742,0.539617392164206,26.7942028985507,20.7530864197531,123.487465071846,170.57087475893,248,601,50.6592741935484,41.9925124792013,0.52315870837486,0.534792136748474,25.0362903225806,27.0116472545757,1.09,0.991,0.414,0.468,0.922,0.923,1.13,1.06,0.815,0.645,1.08,1.01,0.713,0.728,0.858,1.13,1.04,0.997,0.805,0.856,2.124,-0.34,-3.621,-2.025,-4.193,-2.043,11.757,2.889,-7.9,-10.129,0.867,0.416,-0.86,-2.675,-3.481,3.113,1.426,-0.614,-5.348,-7.36,1.9523218228560577,0.4596194077712558,0.8888332239514903,0.5345727265770299,0.5034600282048216,3.64584256379784,7.305120156438222,2.476995054496476,1.8045365055880696,1.9579786771055496
1,G18,sample,TWISTNB,-3.88,-4.05,-1.85,-4.52,-0.03,0.48,0.14,-1.95,4.43,4.32,119.309777768945,175.974087842113,669,128,53.8565022421525,43.9609375,0.535502324691791,0.566373884219992,29.6412556053812,26.6171875,122.079132294721,173.919368157925,507,549,53.3027613412229,31.2367941712204,0.543558430504191,0.546772516784802,30.2998027613412,29.0273224043716,0.973,0.974,0.802,0.37,0.912,0.827,1.05,1.11,0.901,0.827,1.07,1.03,1.46,0.665,0.903,0.843,1.08,1.02,0.974,0.92,-1.215,-0.088,-0.946,-1.513,-4.613,-5.15,5.251,6.053,-3.724,-5.045,1.154,1.054,1.235,-2.387,-3.14,-2.957,3.599,2.579,0.022,-4.004,1.5421998897678602,0.6180113267570426,1.675135964630931,0.8075159441150374,1.0415682886877848,1.5506851711420993,1.1681404025201767,2.456488957842066,2.648822002324807,0.7360981592151963
2,L14,sample,POLR2A,-4.02,-1.64,-1.44,-2.73,-2.12,-1.8,-3.87,-2.05,3.98,2.99,112.806525193251,148.404114067997,278,151,48.363309352518,42.4304635761589,0.56731115146663,0.555098876348371,36.5107913669065,28.5496688741722,117.43152012678,161.5127119733,456,742,56.8421052631579,37.4083557951483,0.512206821924506,0.535402699845366,31.3618421052632,31.6576819407008,0.92,0.847,0.345,0.39,0.843,0.82,1.09,1.09,1.02,0.883,0.968,0.975,0.573,0.854,0.958,1.02,1.01,1,0.961,0.997,-3.513,-2.881,-5.104,-2.728,-5.995,-4.864,7.004,6.086,-0.991,-4.948,-0.725,-0.722,-2.633,-1.366,-2.049,1.582,0.954,-0.098,-1.893,-0.512,1.747260856311959,0.9630794359760778,1.9714137059480945,1.526643540581756,2.7902433585621167,4.558010311528485,4.277996026178612,4.37274833485761,0.6378103166302659,3.136725681343525
3,C12,sample,UBTF,-4.05,-6.6,-0.03,0.54,1.21,-0.7,1.91,0.16,3.39,2.44,131.862521380251,184.52766709978,848,354,52.7505896226415,35.9646892655367,0.534851483070006,0.551805944024292,35.4150943396226,31.6779661016949,126.433657819722,161.526084235864,1117,738,56.3518352730528,29.1023035230352,0.525056266453522,0.537164660443863,32.0116383169203,31.6165311653117,1.06,1.04,1.09,0.918,0.925,0.686,1.02,1.08,0.981,0.97,1.03,0.953,1.27,0.951,0.944,0.779,1.04,1.01,0.969,1.01,1.905,-0.024,1.377,0.258,-3.525,-8.2,2.235,4.659,0.282,-0.329,0.517,-1.371,2.441,0.067,-4.581,-5.008,4.55,0.213,-0.351,1.409,0.7523616151824865,0.13505739520663057,0.981464212286928,0.9524728342582794,0.7467047609329945,2.257084845547459,1.6369521984468576,3.14379674915539,0.4475985924910846,1.2289515857022195
2,M13,sample,CENPW,-4.12,-2.65,-0.66,1.07,-0.44,0.95,-0.2,-0.16,4.02,1.39,120.026553078639,181.924127446217,807,407,50.3463444857497,49.1941031941032,0.547160649714816,0.517085669812091,38.3457249070632,34.1842751842752,123.635756260502,169.499014136264,693,793,54.9199134199134,32.9161412358134,0.531266241995688,0.539430865220072,32.8253968253968,32.2849936948298,0.979,1.04,1,1.05,0.877,0.951,1.05,1.01,1.07,1.06,1.02,1.02,0.87,0.913,0.926,0.897,1.05,1.01,1.01,1.02,-1.002,1.397,0.004,0.077,-4.188,-3.031,4.086,1.367,0.201,1.667,0.124,0.512,-0.397,-0.407,-4.052,-2.276,3.962,1.41,-1.516,0.467,0.2835498192558056,0.342239682094289,0.7962022356160524,0.6257895013500946,0.09616652224137057,0.5338656197958437,0.08768124086713197,0.03040559159102149,1.2141023432973022,0.848528137423857
4,M19,sample,MKI67,-4.19,-2.96,1.61,1.25,0,0.14,-0.64,0.8,3.15,-0.45,123.333737772948,180.043031200317,837,464,50.3464755077658,41.2467672413793,0.54676714105052,0.488678810208736,37.299880525687,32.7219827586207,121.8343402622,171.482874178334,662,727,52.8564954682779,33.3872077028886,0.527894226345341,0.539541553724216,35.261329305136,33.7565337001376,0.989,1.08,1.07,1.98,0.871,0.774,1.05,0.948,1.11,1.03,1,1.01,0.704,0.952,0.897,0.882,1.04,1.01,1.07,1.07,-0.197,0.611,0.399,1.424,-4.096,-3.518,3.051,-1.975,0.004,-0.059,0.191,-0.321,-1.687,0.183,-4.278,-2.411,3.257,1.074,3.209,2.569,1.4750247455551384,0.8775195154525054,0.27435743110038047,0.6590235200658622,0.1286934341759513,0.7827672067735079,0.14566399692442877,2.155968575837784,2.266277233702885,1.8582766209582469
4,D07,sample,CDCA8,-4.25,-1.2,-5.35,-5.6,-1.67,-1.88,-2.6,-1.17,8.93,8.82,118.171245197064,157.857018476935,356,161,49.3876404494382,43.9875776397515,0.576646095970906,0.593960420887265,29.9831460674157,25.5527950310559,114.460764126641,153.923417616505,414,396,53.7789855072464,37.5454545454545,0.577890092518766,0.58475495734485206,26.2222222222222,25.5883838383838,0.948,0.948,0.456,0.688,0.854,0.826,1.11,1.15,0.891,0.805,0.941,0.903,0.44,0.518,0.913,0.992,1.14,1.1,0.796,0.808,-1.649,-1.112,-2.888,-0.82,-5.561,-2.578,8.576,5.732,-2.58,-3.761,-1.696,-2.641,-2.317,-1.513,-2.937,0.185,9.29,11.909,-8.116,-7.449,0.40375797205751845,0.4900249993622774,0.03323401871576768,1.0811662684342311,1.8554481938335008,1.9537360364184304,0.504874241767194,4.367798587389305,3.914543140648727,2.607809809015987
1,I07,sample,DDX21,-4.33,-2.46,0.03,-3.89,-0.66,1.55,-0.54,-2.14,4.86,4.19,118.308947994708,185.735577393806,422,115,51.3791469194313,43.6652173913044,0.55343407112104,0.579563491797809,34.021327014218,26.2695652173913,120.450018985993,182.469252235921,578,555,54.7984429065744,33.4333333333333,0.529925355338035,0.551631704464703,31.9446366782007,29.645045045045,0.965,1.03,0.506,0.332,0.87,0.821,1.08,1.14,1.03,0.816,1.05,1.08,1.66,0.672,0.928,0.903,1.06,1.03,1.03,0.939,-1.993,0.514,-2.936,-1.869,-6.562,-3.6,7.85,6.463,-0.029,-4.652,0.673,2.587,1.847,-2.42,-2.095,-1.328,1.879,1.923,0.084,-3.119,3.382091734415257,0.3896158364337876,1.885146678643336,1.4658323573997132,3.1586459915603076,1.606546606855836,4.222134590464875,3.210264786586926,0.07990306627407988,1.0839946955589772
1,I10,sample,NPM1,-4.56,-0.31,0.61,-3.57,0.53,0.11,0.35,-2.02,2.27,3.33,124.753891082119,150.420852588735,912,100,53.625548245614,48.14,0.540979226284563,0.56621222369743,34.2434210526316,25.95,120.77065695782,186.217439001352,271,532,49.5940959409594,35.4821428571429,0.503300853525196,0.554518343367103,31.029520295203,29.8270676691729,1.02,0.832,1.09,0.289,0.908,0.905,1.06,1.11,1.04,0.806,1.06,1.1,0.779,0.644,0.84,0.958,1,1.03,0.997,0.945,0.401,-3.206,0.285,-1.741,-4.497,-1.103,5.911,4.657,1.289,-4.975,0.665,3.435,0.416,-2.306,-4.616,0.491,-1.377,2.007,-0.066,-2.173,0.09263098833543772,0.3995153313703993,0.18667619023324855,4.695896133859862,0.084145706961199,1.1271282092113566,5.153394221287558,1.8738329701443508,0.958129688507772,1.981313200884706
1,I08,sample,POLR1B,-5.07,-2.9,-2.95,-2.44,0.27,1.8,-2.09,-1.42,6.27,3.12,124.418819270244,206.214741067214,402,153,48.0099502487562,42.3398692810458,0.569323062339518,0.564543733778489,28.0348258706468,28.5294117647059,116.694038374947,179.977324769458,92,604,58.5923913043478,32.9544701986755,0.512958670051036,0.551949192606806,30.2934782608696,29.5662251655629,1.02,1.14,0.482,0.442,0.813,0.796,1.11,1.11,0.852,0.887,1.02,1.06,0.264,0.732,0.993,0.89,1.02,1.03,0.973,0.937,0.109,2.134,-2.716,-1.303,-10.225,-4.031,12.114,4.343,-5.065,-2.452,0.432,1.465,-1.474,-1.534,0.092,-1.763,0.42,1.891,-0.836,-2.419,0.8782266222336922,0.16334166645409254,0.22839549032325485,0.47305443661380014,7.29522066150161,1.6037181797310898,8.268906699195487,1.7338258274694145,2.99035457763791,0.02333452377915601
2,C07,sample,ZNRD1,-5.41,-1.15,-0.61,-3.66,1.23,4.03,-0.56,-2.51,5.47,3.33,126.978998509023,200.214664851094,519,171,51.155105973025,46.5701754385965,0.556630650058481,0.536218662710434,34.514450867052,28.0116959064327,126.544806695611,194.586725939104,640,520,52.221875,35.3711538461538,0.540503236659489,0.547015132593463,31.4359375,30.4480769230769,1.04,1.14,0.644,0.442,0.891,0.9,1.07,1.05,0.966,0.867,1.04,1.17,0.804,0.599,0.88,0.964,1.07,1.02,0.964,0.958,1.527,2.101,-0.673,-1.912,-3.998,-2.13,4.527,3.788,-0.297,-5.066,0.94,5.963,-0.453,-3.107,-6.826,-0.163,6.403,2.879,-0.918,-2.261,0.1555634918610405,0.8449926035179245,0.4150716805565034,2.7308463889424464,1.999697977195556,1.390879038593939,1.3265323215059628,0.6427600640985716,0.4391133111168461,1.9834345212282656
4,K13,sample,SPDL1,-5.47,0.54,0.19,-3.49,-1.23,-1.34,-2.11,-1.83,3.27,2.82,120.187880765285,129.140128568742,360,93,48.5555555555556,46.8548387096774,0.556512741795121,0.568772912085023,34.6,24.494623655914,120.489918860851,181.142592858701,504,329,52.4613095238095,43.1352583586626,0.528899408284012,0.5427180568906,33.2043650793651,29.6869300911854,0.964,0.776,0.461,0.397,0.84,0.879,1.07,1.1,1.03,0.772,0.991,1.06,0.536,0.431,0.891,1.14,1.04,1.02,1.01,0.937,-1.548,-3.594,-2.493,-0.888,-6.082,-1.316,4.247,3.681,0,-4.6,-0.912,0.916,-1.735,-2.772,-4.853,2.406,2.286,1.956,0.388,-2.372,0.5359869401394028,1.3321891757554554,0.4497199128346442,3.1890515831513295,0.869034234078267,2.63185143957633,1.3866363979068197,1.2197591975467943,0.27435743110038047,1.5754339084836275
1,B08,sample,FBL,-6.14,-2.59,-1.43,-1.71,-3.67,1.2,-1.38,-1.46,7.08,1.54,105.731851085573,195.111157320679,383,268,48.6370757180157,44.0055970149254,0.565605844700112,0.537097553773542,29.2088772845953,30.2835820895522,96.2213150434555,177.052271688566,400,705,52.49875,36.1695035460993,0.531703160257865,0.542710663884742,29.4375,30.5021276595745,0.863,1.08,0.459,0.775,0.824,0.827,1.11,1.05,0.888,0.941,0.841,1.05,1.15,0.854,0.889,0.977,1.06,1.01,0.946,0.966,-5.335,1.385,-3.644,-1.097,-9.69,-4.045,11.523,2.834,-2.044,-1.908,-2.003,1.015,0.89,-1.827,-2.593,-1.141,2.646,0.246,-0.821,-1.509,3.206022145899807,0.5161879502661797,2.356079794913576,0.26162950903902266,5.018336826080928,2.053438092565734,6.276986896592983,1.829992349710785,0.8647915933911478,0.2821356056934325
4,F18,sample,PTTG1,-6.59,-2.37,8.23,-3.11,4.65,-0.8,-1.57,-1.47,6.84,8.09,145.080933242077,134.447008707303,529,102,48.3610586011342,43.2892156862745,0.563814610103465,0.597334079392895,41.7674858223062,26.1764705882353,140.144824277126,176.290902211197,672,521,52.9255952380952,36.7466410748561,0.546748400583108,0.571108841152553,39.9895833333333,30.2072936660269,1.16,0.807,0.677,0.436,0.836,0.813,1.09,1.16,1.24,0.825,1.15,1.03,0.714,0.682,0.898,0.971,1.08,1.07,1.21,0.954,5.395,-2.521,-1.542,-0.691,-7.948,-3.689,7.759,7.025,7.735,-3.937,3.905,0.916,-1.605,-2.252,-5.24,-1.06,5.917,9.15,8.729,-2.282,0.04454772721475245,1.1037936854322006,1.0535891039679557,2.430326006938164,1.914845163453171,1.8589837277394337,1.3024906909456209,1.5026019100214134,0.7028641404994275,1.170261722863736
2,E18,sample,SUPT5H,-6.67,-4.15,-1.55,-7.84,-3.81,-1.93,-1.63,-2.5,5.39,5.42,110.551370756265,147.74784633056,411,98,48.529197080292,38.6020408163265,0.549025297052181,0.582395374768617,34.1995133819951,24.0102040816327,112.719818304397,166.772144355425,655,597,52.6824427480916,35.392797319933,0.536168545615863,0.5366603427402,31.2595419847328,29.2043551088777,0.901,0.844,0.51,0.253,0.846,0.746,1.05,1.14,0.957,0.743,0.93,1.01,0.822,0.687,0.888,0.964,1.06,1,0.958,0.919,-5.042,-3.755,-3.088,-2.417,-6.636,-7.67,4.921,10.851,-1.585,-10.166,-2.579,-0.108,-0.165,-2.576,-6.701,-0.626,5.85,-0.006,-1.513,-5.511,2.0668731214082783,0.11242997820866124,1.7416040020624663,2.5788184309873388,0.04596194077712524,4.980860166678041,0.6569021997223022,7.677058323342347,0.05091168824543146,3.2915820664233792
4,K06,sample,BIRC5,-7.47,-1.66,-0.99,-5.86,-0.44,-3.51,-2.43,-1.31,10.23,8.7,119.210551131742,132.298569032195,404,123,47.1856435643564,40.650406504065,0.585044355689112,0.591013888541659,32.0643564356436,23.3658536585366,124.975269082998,159.950665917031,532,499,52.828007518797,37.7404809619239,0.568505800356503,0.585646050299663,32.0563909774436,27.1422845691383,0.956,0.794,0.517,0.526,0.816,0.763,1.13,1.15,0.953,0.736,1.03,0.938,0.565,0.653,0.897,0.997,1.12,1.1,0.973,0.857,-1.847,-4.604,-2.562,-1.345,-9.294,-3.339,10.736,6.202,-1.413,-5.808,0.959,-2.411,-2.303,-1.273,-5.639,0.018,9.724,11.189,-0.56,-5.917,0.18314065632731577,0.05091168824543146,1.9841416280094524,1.5506851711420988,2.5844752852368313,2.37375746444324,0.7155920625607863,3.5263415177773125,0.603162084352125,0.07707463914933367
1,L06,sample,INCENP,-7.63,-3.15,-7.93,-6.23,-5.06,-3.01,-1.79,-1.11,10.47,5.54,97.5482225529705,143.541824462737,351,164,46.6324786324786,43.0182926829268,0.597891390907603,0.567686464144617,25.2478632478632,21.2865853658537,109.168125061448,161.772364217201,345,694,51.6,34.0367435158501,0.5401774568611,0.560069042972673,24.0463768115942,29.3314121037464,0.796,0.794,0.421,0.474,0.79,0.809,1.17,1.11,0.768,0.662,0.954,0.957,0.991,0.841,0.874,0.919,1.08,1.04,0.773,0.929,-9.222,-4.415,-3.577,-1.224,-10.958,-4.962,17.105,5.938,-10.639,-8.594,-0.889,-1.598,0,-0.995,-4.3,-1.337,3.843,5.133,-5.211,-3.869,2.5293209563042804,0.16192745289171936,5.8923208076275,1.9919198026025045,4.707916949140033,2.5632620818012346,9.377650132095994,0.5692209588551705,3.8381756082805794,3.341079541106436
